frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
561.4444444444445,581.0,216.89757496267993,133.0,1162.0,966.0111111111111,723.0,483.70200868910666,302.0,2132.0,266138.5980103395,132009.13644429945,243772.93035014308,29253.176943892373,942618.56814524,0.0,0.0,0.0,0.0,0.0
509.31111111111113,441.0,223.24001256467568,133.0,1209.0,938.4777777777778,710.0,475.9044074829822,312.0,2131.0,254711.36458789065,131353.1706771699,238060.9723248015,31651.646975245418,941178.8891954152,0.0,0.0,0.0,0.0,0.0
576.3444444444444,584.0,227.24109375585664,133.0,1207.0,1050.9666666666667,723.5,501.154854089809,313.0,2131.0,306759.4470620247,131528.15528818563,260086.80975005,31725.375670659603,943585.6775340178,0.0,0.0,0.0,0.0,0.0
591.5111111111111,577.5,280.2508893610408,133.0,1282.0,1067.388888888889,724.0,597.7165380651127,302.0,2142.0,332376.7623223604,131295.29512491773,308092.33693807013,29253.176943892373,947515.8687205446,0.0,0.0,0.0,0.0,0.0
311.2,182.0,326.3800851767767,151.0,1258.0,323.2,40.0,616.3991888378829,40.0,2142.0,101278.01843116207,1e-05,282352.2147767153,1e-05,947515.8687205446,0.0,0.0,0.0,0.0,0.0
359.8,257.5,308.4560908784264,182.0,1258.0,344.8,96.0,611.6915562601793,40.0,2142.0,103783.08644562893,2202.084548270157,281638.581121049,1e-05,947515.8687205446,0.0,0.0,0.0,0.0,0.0
544.9333333333333,514.0,279.3039284443461,133.0,1279.0,922.7,716.5,575.0432148011912,40.0,2147.0,265250.8110620223,129949.64977826207,287961.6336775079,1e-05,956108.9623105671,0.0,0.0,0.0,0.0,0.0
518.7,373.0,246.86957645238058,133.0,1281.0,913.3444444444444,709.0,499.01857371602944,302.0,2148.0,247341.3027241782,130036.10326268963,254825.01214824748,29253.176943892373,956261.9292080126,0.0,0.0,0.0,0.0,0.0
545.8111111111111,516.0,257.25244386894207,133.0,1244.0,980.1,722.0,538.2894316464166,302.0,2179.0,282342.80390182394,130722.89808902002,277093.2117362161,29253.176943892373,981120.3443832819,0.0,0.0,0.0,0.0,0.0
544.9666666666667,427.0,249.395734170058,133.0,1214.0,952.1555555555556,708.5,563.5852870706165,312.0,2178.0,275079.5120467428,129984.27996232477,292759.1297456703,31583.571704435657,982715.289626328,0.0,0.0,0.0,0.0,0.0
495.0,443.0,209.533821189378,133.0,1157.0,868.5555555555555,711.0,439.14743439510437,302.0,2147.0,220582.11417201886,129986.39071557907,210007.7518196515,29253.176943892373,956108.9623105671,0.0,0.0,0.0,0.0,0.0
